country,survey_start_year,year,lat,lon,GID_1,GID_2,households,rural,iwi
angola,2015,2015,-12.431780000000002,16.778167999999997,AGO.3,AGO.3.8,11,1,17.77704127272727
angola,2015,2015,-5.607513999999998,12.200820999999998,AGO.4,AGO.4.3,22,0,56.56608304545456
angola,2015,2015,-5.593385999999999,12.206087999999996,AGO.4,AGO.4.3,21,0,66.67910466666666
angola,2015,2015,-5.583285000000001,12.179857000000004,AGO.4,AGO.4.3,24,0,72.17629558333333
angola,2015,2015,-5.601281,12.203132000000002,AGO.4,AGO.4.3,24,0,62.05184020833333
angola,2015,2015,-5.460454,12.263045,AGO.4,AGO.4.3,2,1,60.571392
angola,2015,2015,-5.583678000000004,12.185291000000005,AGO.4,AGO.4.3,23,0,72.4245023478261
angola,2015,2015,-4.763034,12.539956,AGO.4,AGO.4.2,4,0,54.68628475
angola,2015,2015,-5.634583000000004,12.197471000000006,AGO.4,AGO.4.3,23,0,50.55699447826088
angola,2015,2015,-5.599102000000001,12.171811999999996,AGO.4,AGO.4.3,24,0,70.90763458333335
angola,2015,2015,-5.602340999999999,12.168736999999997,AGO.4,AGO.4.3,23,0,59.40375943478261
angola,2015,2015,-4.653519,12.731428,AGO.4,AGO.4.1,4,1,42.3026675
angola,2015,2015,-5.601466,12.191756,AGO.4,AGO.4.3,25,0,68.0864988
angola,2015,2015,-14.668789999999998,17.660464999999995,AGO.5,AGO.5.7,18,0,32.7631815
angola,2015,2015,-16.327724999999997,22.032553000000004,AGO.5,AGO.5.9,10,0,20.2353044
angola,2015,2015,-16.29371,22.000934000000008,AGO.5,AGO.5.9,15,1,13.07783146666667
angola,2015,2015,-14.640794,17.675170000000005,AGO.5,AGO.5.7,16,0,33.8953524375
angola,2015,2015,-14.672683000000005,17.701225999999995,AGO.5,AGO.5.7,17,0,52.487494000000005
angola,2015,2015,-14.683032000000006,17.691598,AGO.5,AGO.5.7,24,0,52.77425004166668
angola,2015,2015,-14.635504000000005,17.675948,AGO.5,AGO.5.7,20,0,47.999160100000005
angola,2015,2015,-14.672287,17.689213999999996,AGO.5,AGO.5.7,24,0,49.26121337500001
angola,2015,2015,-16.96476999999999,22.101383,AGO.5,AGO.5.9,22,1,3.9453210909090894
angola,2015,2015,-14.664083000000002,17.671812999999993,AGO.5,AGO.5.7,21,0,29.6288249047619
angola,2015,2015,-15.644770999999997,20.891849,AGO.5,AGO.5.9,22,1,9.264557363636364
angola,2015,2015,-9.268570000000002,15.229294,AGO.6,AGO.6.9,20,0,45.5978569
angola,2015,2015,-9.298272999999998,14.931835999999995,AGO.6,AGO.6.6,21,0,50.54343028571428
angola,2015,2015,-9.177717,15.239060999999996,AGO.6,AGO.6.9,21,1,9.52195985714286
angola,2015,2015,-9.286520999999995,14.919765000000003,AGO.6,AGO.6.6,18,0,24.73188005555556
angola,2015,2015,-8.201536000000003,15.379319000000002,AGO.6,AGO.6.1,13,0,30.061390384615382
angola,2015,2015,-8.187309999999998,15.370707,AGO.6,AGO.6.1,17,0,33.691176235294115
angola,2015,2015,-9.039108999999998,14.696981999999997,AGO.6,AGO.6.8,16,1,7.550605875
angola,2015,2015,-9.150102000000002,14.7587,AGO.6,AGO.6.8,18,0,57.54659966666668
angola,2015,2015,-9.297813999999995,14.902041999999998,AGO.6,AGO.6.6,21,0,64.32737395238095
angola,2015,2015,-9.154759000000004,14.842508000000004,AGO.6,AGO.6.8,20,1,10.71087205
angola,2015,2015,-9.291030000000005,14.910762000000004,AGO.6,AGO.6.6,17,0,33.6919144117647
angola,2015,2015,-9.291856999999997,14.903077999999995,AGO.6,AGO.6.6,23,0,58.55339391304347
angola,2015,2015,-8.952980999999998,14.735918000000002,AGO.6,AGO.6.10,18,1,17.37426077777778
angola,2015,2015,-9.31439,14.889098999999996,AGO.6,AGO.6.6,17,0,42.68594458823529
angola,2015,2015,-9.320071000000004,14.906135000000004,AGO.6,AGO.6.6,21,0,59.23349133333334
angola,2015,2015,-10.956055999999997,14.587492999999998,AGO.7,AGO.7.4,20,0,11.74354345
angola,2015,2015,-11.668122000000002,14.147692000000005,AGO.7,AGO.7.11,23,1,4.359182608695652
